Movie, Character
Toy Story,Buzz Lightyear
Toy Story, Woody
Toy Story,Hamm
Toy Story,Andy Davis
Toy Story,Bo Peep
Toy Story,Mr. Potato Head
Toy Story,Slinky Dog
Toy Story,Rex
A Bug's Life,Flik
A Bug's Life,Dot
A Bug's Life,Hopper
A Bug's Life,Heimlich
Monster's Inc,Sully
Monster's Inc,Boo
Monster's Inc,Mike Wazowski
Monster's Inc,Randall
Monster's Inc,Roz
Monster's Inc,Celia
Finding Nemo,Nemo
Finding Nemo,Marlin
Finding Nemo,Darla
Finding Nemo,Crush
Finding Nemo,Dory
Finding Nemo,Bruce
Finding Nemo,Squirt
The Incredibles,Mr. Incredible
The Incredibles,Elastigirl
The Incredibles,Bob Parr
The Incredibles,Helen Parr
The Incredibles,Violet Parr
The Incredibles,Jack jack
The Incredibles,Frozone
The Incredibles,Dash Parr
Cars,Lightning McQueen
Cars,Mater
Cars,Doc Hudson
Cars,Sally
Cars,Guido
Cars,Luigi
Cars,Ramone
Cars,Flo
Cars,Filmore
Ratatouille,Remy
Ratatouille,Linguini
Ratatouille,Colette
Ratatouille,Skinner
Ratatouille,Ego
Ratatouille,Emile
Ratatouille,Gusteau
WALL-E,WALL-E
WALL-E,EVE
WALL-E,Auto
Up,Russell
Up,Carl
Up,Ellie
Up,Dug
Up,Charles Muntz
Up,Kevin
Brave,Merida
Brave,Queen Elinor
Brave,Mor'du
Brave,King Fergus
Brave,Harris
Brave,Hubert
Brave,Hamish
Inside Out,Joy
Inside Out,Sadness
Inside Out,Disgust
Inside Out,Fear
Inside Out,Anger
Inside Out,Riley
Inside Out,Bing Bong
